club_id,category,team_name,team_id
179,C.C. PRIMERA CATEGORIA MASCULINA,CB ABRERA,69722
179,3A. TERRITORIAL SÈNIOR MASCULÍ,CB ABRERA,72574
179,C.C. JÚNIOR MASCULÍ INTERTERRITORIAL,CB ABRERA,69721
179,C.T. CADET MASCULÍ PROMOCIÓ,CB ABRERA VERMELL,69724
179,C.T. CADET MASCULÍ PROMOCIÓ,CB ABRERA BLANC,72581
179,C.T. INFANTIL MASCULÍ PROMOCIÓ,CB ABRERA VERMELL,69720
179,C.T. INFANTIL MASCULÍ PROMOCIÓ,CB ABRERA BLANC,72579
179,C.T. PRE-INFANTIL MASCULÍ,CB ABRERA,72580
179,C.T. PRE-MINI MASCULÍ,CB ABRERA VERMELL,72575
179,C.T. PRE-MINI MASCULÍ 1R. ANY,CB ABRERA BLANC,72577
179,C.T. JÚNIOR FEMENÍ PROMOCIÓ,CB ABRERA,69719
179,C.T. CADET FEMENÍ PROMOCIÓ,CB ABRERA VERMELL,69723
179,C.T. CADET FEMENÍ PROMOCIÓ,CB ABRERA BLANC,72576
179,C.T. MINI FEMENÍ,CB ABRERA VERMELL,72578
179,C.T. MINI FEMENÍ 1R. ANY,CB ABRERA BLANC,72573
312,COPA CATALUNYA MASCULINA,CB ADEPAF TXOT'S,70940
312,C.C. JÚNIOR MASCULÍ NIVELL A,ADEPAF-GRIFEU TXOT'S,72877
312,C.T. CADET MASCULÍ PROMOCIÓ,CB ADEPAF TXOT'S,72872
312,C.T. INFANTIL MASCULÍ PROMOCIÓ,CB ADEPAF TXOT'S,72876
312,C.T. PRE-INFANTIL MASCULÍ,CB ADEPAF TXOT'S,72873
312,C.T. MINI MASCULÍ,CB ADEPAF U12 TXOT'S,72870
312,C.T. MINI MASCULÍ,CB ADEPAF U11 TXOT'S,72875
312,C.T. PRE-MINI MASCULÍ,CB ADEPAF U10 TXOT'S,72871
312,C.T. PRE-MINI MASCULÍ 1R. ANY,CB ADEPAF U9 TXOT'S,72874
393,2A. TERRITORIAL SÈNIOR MASCULÍ,BAC AGRAMUNT,72362
393,C.T. INFANTIL MASCULÍ PROMOCIÓ,BAC AGRAMUNT,72361
393,C.C. JÚNIOR FEM. NIVELL A,BAC AGRAMUNT,72363
393,C.T. PRE-INFANTIL FEMENÍ,BAC AGRAMUNT,72364
433,C.C. PRIMERA CATEGORIA MASCULINA,CB ÀGUILES - PLASFOC,70583
433,2A. TERRITORIAL SÈNIOR MASCULÍ,CB ÀGUILES,72896
