id,clubCode,name,shortName,alfabeticOrder,direction,town,province,telephone,fax,mail,mail2,president,contact,telephoneCR,telephoneMobileCR,web
179,080464,CLUB BASQUET ABRERA,C.B. ABRERA        ,ABRERA C.B.,"PASSEIG DE L'ESGLÉSIA, 22",ABRERA,Barcelona,937703936,000000000,cbabrera@basquetcatala.org,,GERARD  MARGARIT MARTÍN,JOSE DIEGO CARO GARCIA,937703936,644984454,WWW.CBABRERA.COM
312,170004,CLUB BASQUET ADEPAF FIGUERES,CLUB BASQUET ADEPAF,ADEPAF FIGUERES C.B.,"PAVELLÓ MUNICIPAL, Plaça dels voluntaris s/n",FIGUERES,Girona,666838377,972678398,dtecnica@ucap.cat,president@adepaf.cat,ORIOL RABERT LLORÀ,GUILLEM PASCUA DUCH,972678398,666838377,www.adepaf.cat
393,250011,BASQUET AGRAMUNT CLUB,BASQUET AGRAMUNT CL,AGRAMUNT  B.C.,"Avinguda dels Esports, 37",AGRAMUNT,Lleida,605060406,973392576,rubenanye@gmail.com,,RUBÉN AÑÉ FARRÉ,RUBEN AÑE FARRE,973392576,605060406,www.basquetagramunt.wordpress.com
433,430013,CLUB BASQUET AGUILES,CLUB BASQUET AGUILE,AGUILES C.B.,"RAVAL SANTA COLOMA, 40",SANTA COLOMA DE QUERALT,Tarragona,661609652,977880473,cbaguiles@gmail.com,,MARC VERGÉS ALBAREDA,ENRIC JUNYENT,,600 58 03 86,www.cbaguiles.cat
2889,170305,CLUB BASQUET ALBERA-PERALADA,C.B. ALBERA-PERALAD,ALBERA-PERALADA CLUB BÀSQUET,"Passeig Catalunya, s/n",PERALADA,Girona,625140117,,dtecnica@ucap.cat,,MARC BERTRAN ILLA,Guillem Pascua Duch,,666838377,
443,430031,CLUB BASQUET ALCANAR,CLUB BASQUET ALCANA,ALCANAR C.B.,"AVDA ABRIL, 13",ALCANAR,Tarragona,676727354,000000000,puma104@hotmail.com,,JUAN DANIEL FONTET APARICIO,JOSEP MARIA MUÑOZ REDON,977731138,676727354,cbalcanar.com
3318,430326,CLUB BASQUET ALCOVER,ALCOVER C.B.,ALCOVER CLUB BÀSQUET,"PL. COSME VIDAL, 5",ALCOVER,Tarragona,652353150,,clubbasquetalcover@gmail.com,,VÍCTOR ALEJANDRE MADRID,Pau Bové Ferré,,673570275,
129,080231,CLUB BASQUET ALELLA,C.B. ALELLA        ,ALELLA C.B.,"C/. Creu de pedra, 29-31",ALELLA,Barcelona,640500881,000000000,club.basquet.alella@gmail.com,,NORMA PAREDES ADSERÀ,NORMA PAREDES ADSERA,,640500881,www.basquetalella.com
18,080026,CLUB BASQUET ALISOS,C.B. ALISOS        ,ALISOS C.B.,Agricultura 204,BARCELONA,Barcelona,652972375,932780433,dtcbalisos@gmail.com,,FRANCESC XAVIER GOMEZ  GRACIA,XAVI GOMEZ GRACIA,932780433,652972375,www.cbalisos.net
53,080069,BASKET ALMEDA,BASQUET ALMEDA     ,ALMEDA BASKET,SANT FERRAN 45 BIS,CORNELLA DE LLOBREGAT,Barcelona,606110113,933775577,info@basketalmeda.com,,MANUEL  ESTEPA JIMENEZ,JOSE LUIS MARTINEZ SEIJO,933775577,606110113,www.basketalmeda.com
2451,250111,CLUB BASQUET ALPICAT,C.B. ALPICAT       ,ALPICAT C.B.,"PASSEIG DEL PARC, S/N",ALPICAT,Lleida,659145901,,coordinaciocba@gmail.com,basquetalpicat@gmail.com,PAQUI GALEANO CAMBERO,Arnau Garrabé Tosquella,,659145901,
2490,081440,AGRUPACIO ESPORTIVA CLUBS ALT MARESME,AECAM              ,ALT MARESME AEC,"GIRONA, s/n",MALGRAT DE MAR,Barcelona,646983106,937678879,yesaecam@gmail.com,,JOSE CAPO GARRIDO,David Martin,,687069635 ,www.aecam.cat
2708,430311,CLUB BASQUET ALTAFULLA,C.B. ALTAFULLA,ALTAFULLA C.B.,"Camí del Roquissar, s/n",ALTAFULLA,Tarragona,679740770,000000000,cbaltafulla@gmail.com,,ASSUMPTA TOMÀS I CORVO,DANI PONCE REAL,,665954074,cbaltafulla.cat
3281,430324,CLUB BASQUET L'AMETLLA DE MAR,C.B. L'AMETLLA DE M,AMETLLA DE MAR C.B.,"PRESIDENT LLUIS COMPANYS, 28",L'AMETLLA DE MAR,Tarragona,606815892,,cblacala@gmail.com,,SANTI DUQUE GARCIA,SANTI DUQUE GARCIA,,606815892,
177,080453,CLUB DE BASQUET L'AMETLLA DEL VALLES,C.B. AMETLLA DEL VA,AMETLLA DEL VALLES C.B.,"C/Font dels Caçadors, 20","AMETLLA DEL VALLES, L'",Barcelona,645735325,000000000,lluisgirbau@hotmail.com,,LLUIS GIRBAU PUIG,DOLORS FERRER ORRI,938430974,662529242,www.cbametlla.com
3191,081586,AMPA ESCOLA DOMINIQUES DE L'ENSENYAMENT,AMPA ESCOLA DOMINIQ,AMPA ESCOLA DOMINIQUES DE L'ENSENYAMENT,URGUELL 170 6 2 ,BARCELONA,Barcelona,607146137,,oscarmarsa@dominiquesbcn.cat,,ESTHER-ELENA NIETO CRESPO,Oscar Marsa Valles,,607146137,
2246,430012,CLUB BASQUET AMPOSTA,C.B. AMPOSTA       ,AMPOSTA C.B.,"CARRER SAGUNT, 4",AMPOSTA,Tarragona, 620 20 06 70,977701216,coordinacio@cbamposta.com,,EDGAR DASI ESTEVE,Edgar Dasi Esteve,,635403772,www.cbamposta.com
398,250017,BASQUET CLUB ANDORRA,B.C. ANDORRA       ,ANDORRA B.C.,"BAIXADA DEL MOLÍ, 20 1r 2a",ANDORRA LA VELLA,Andorra,00376890361,00376890391,jaumetomas@bca.ad,secretaria@bca.ad,GORKA AIXÀS OLEA,JAUME TOMAS VILANA,00376885900,00376344195,www.bca.ad
2466,170280,CLUB BASQUET ANGLES,C.B. ANGLES        ,ANGLES C.B.,"C/Salvador Dalí, 16",ANGLES,Girona,633080946,,basquet.angles@gmail.com,,TONI FRANCO CABALLÉ,ANTONI FRANCO CABALLE,972983386,633080946,
440,430024,CLUB BASQUET L'ARBOÇ,BASQUET ARBOÇ      ,ARBOÇ BASQUET,"Av. Tarragona, 92-94 - 2º-2ª","ARBOÇ, L'",Tarragona,678755476,,basquetarbocenc@gmail.com,,JOSEP ROSSELL MAÑÉ,PERE RODRÍGUEZ MASIP,977670713,627385618,www.basquetarbocenc.cat
324,170022,CLUB BASQUETBOL ARBUCIES,CLUB BASQUET ARBUCI,ARBUCIES C.B.,"C/Castell, 98-bxs.",ARBUCIES,Girona,600703311,,clubbasquetarbucies@gmail.com,,OTGER AULADELL I COLOMER,PABLO GUERRA REYES,,631208329,
54,080071,CLUB ARENYS BASQUET,CLUB ARENYS BASQUET,ARENYS B.C.,"FONDO DE LES CREUS, S/N",ARENYS DE MAR,Barcelona,687801013,,coordinacioarenysbasquet@gmail.com,juntaarenysbasquet@gmail.com,AINOHA MORENO AYALA,CARLES TORIBIO GÓMEZ,,687801013,www.arenysbasquet.cat
64,080091,CLUB BASQUET ARGENTONA,C.B. ARGENTONA     ,ARGENTONA C.B.,Carretera de Vilassar s/n,ARGENTONA,Barcelona,600073495,937970151,cbargentona@gmail.com,,JOAN FRANCESC  BURGUES CASTELLA,DAVID VICENTE MOLINA,937970151,600073495,www.cbargentona.cat
3463,081618,ASSOCIACIO ESPORTIVA ARRAHONA,A.E. ARRAHONA,ARRAHONA ASSOCIACIO ESPORTIVA,c/La Llanera 31 1er 2a,Sabadell,Barcelona,601526847,,secretaria@aearrahona.com,presidencia@aearrahona.com,SERGIO GONZÁLEZ HERNÁNDEZ,Sergio González Hernández,,651994308,aearrahona.com
154,080345,CLUB BASQUET ARTES,C.B. ARTES,ARTES C.B.,"PAVELLO MUNICIPAL, BARCELONA S/N",ARTES,Barcelona,606880746,000000000,illakovic@gmail.com,,SANTI PERRAMON PIÑA,XAVIER ILLA VILA,938306642,606880746,www.cbartes.net
401,250020,CENTRE EXCURSIONISTA NOVA GENT (C.E.N.G.),CENG ARTESA DE SEGR,ARTESA DE SEGRE CENG,Apartat de Correus 32,ARTESA DE SEGRE,Lleida,636476755,000000000,direccio.tecnica@cengartesa.cat,info@cengartesa.cat,XAVIER FARRAS PUIGPINOS,EDU REINA TORRES,,623001878,
3336,081605,ASSOCIACIO EIXIC LLEURE I ESPORT,ASSOCIACIO EIXIC,ASSOCIACIO EIXIC,C/GOMIS 110 Escala 7 2n 2a,Barcelona,Barcelona,606128994,,asoeixic@gmail.com,asoeixic@gmail.com,MARCO CONTRERAS SOLA,MARCO CONTRERAS SOLA,,606128994,www.asoeixic.com
3272,081596,FUNDACIO AULA ESCOLA EUROPEA,FUNDACIO AULA ESCOL,AULA ESCOLA EUROPEA FUNDACIO,"AVDA. MARE DE DÉU DE LORDA, 34",BARCELONA,Barcelona,932030354,,esport@aula-ee.com,xsaura@aula-ee.com,XAVIER SAURA BARRERA,Xavier Saura,932030354,629314127,https://www.aula-ee.com
2486,081427,ASSOCIACIO BASQUET BADALONA 2005,A. BASQUET BADALONA,BADALONA 2005 AB,Campoamor 43,BADALONA,Barcelona,607704368,932753476,abb2005bk@gmail.com,javiergarciareina@hotmail.com,FRANCESC XAVIER GARCIA REINA,JOSEP MARIA GIMENEZ MELLADO,,658913031,www.abbbasquet.com
